Date,Description,Amount,Type
2026-01-02,Salary Deposit,4500.00,Credit
2026-01-03,Walmart Grocery,87.32,Debit
2026-01-04,Shell Gas Station,45.60,Debit
2026-01-05,Netflix Subscription,15.99,Debit
2026-01-06,Starbucks Coffee,6.45,Debit
2026-01-07,Electric Bill Payment,125.40,Debit
2026-01-08,Amazon Purchase,62.99,Debit
2026-01-09,Rent Payment,1200.00,Debit
2026-01-10,Kroger Grocery,54.18,Debit
2026-01-11,Uber Ride,18.75,Debit
2026-01-12,Spotify Subscription,9.99,Debit
2026-01-13,McDonald's Restaurant,12.30,Debit
2026-01-14,Water Utility Bill,45.00,Debit
2026-01-15,Transfer In From Savings,500.00,Credit
2026-01-16,Target Shopping,89.45,Debit
2026-01-17,Chevron Gas,38.20,Debit
2026-01-18,Pizza Hut Delivery,24.50,Debit
2026-01-19,Internet Bill,79.99,Debit
2026-01-20,Trader Joe's Grocery,67.82,Debit
2026-01-21,Steam Game Purchase,29.99,Debit
2026-01-22,Parking Downtown,12.00,Debit
2026-01-23,Whole Foods Market,95.40,Debit
2026-01-24,Phone Bill,55.00,Debit
2026-01-25,Best Buy Electronics,199.99,Debit
2026-01-26,Lyft Ride,22.15,Debit
2026-01-27,Cinema Tickets,32.00,Debit
2026-01-28,Salary Deposit,4500.00,Credit
2026-01-29,Mortgage Payment,1500.00,Debit
2026-01-30,Whole Foods Grocery,43.25,Debit
